BG10779 MlpA 
BG11319 MmgA 
BG11320 MmgB 
BG11321 MmgC 
BG11322 MmgD 
BG11323 MmgE 
BG10420 Mmr 
BG11117 MmsA 
BG13851 MntA 
BG13852 MntB 
BG13853 MntC 
BG13854 MntD 
BG12065 MntH 
BG11702 MntR 
BG10980 MoaA 
BG12618 MoaB 
BG12619 MoaD 
BG12620 MoaE 
BG12621 MobA 
BG12622 MobB 
BG12623 MoeA 
BG12624 MoeB 
BG10688 MotA 
BG10689 MotB 
BG10690 Mpr 
BG10224 MraY 
BG10326 MreB 
BG10987 MreBH 
BG10327 MreC 
BG10328 MreD 
BG10864 MrgA 
BG12355 MrpA 
BG12356 MrpB 
BG12357 MrpC 
BG12345 MrpD 
BG14181 MrpE 
BG12344 MrpF 
BG12343 MrpG 
BG12497 MscL 
BG12625 MsmE 
BG12626 MsmR 
BG11954 MsmX 
BG11627 MsrA 
BG12482 Mta 
BG12627 MtbP 
BG11215 MtlA 
BG11216 MtlD 
BG12049 MtlR 
BG13800 Mtn 
BG10277 MtrA 
BG10278 MtrB 
BG11955 MurAA 
BG10414 MurAB 
BG10228 MurB 
BG10973 MurC 
BG10225 MurD 
BG10223 MurE 
BG12084 MurF 
BG10227 MurG 
BG11402 MutL 
BG12628 MutM 
BG11403 MutS 
BG12328 MutSB 
BG11956 MutT 
BG12629 NadA 
BG10867 NadB 
BG10868 NadC 
BG10694 NadE 
BG12630 NagA 
BG12631 NagB 
BG12941 NagP 
BG11957 Nap 
BG11081 NarG 
BG11082 NarH 
BG11084 NarI 
BG11083 NarJ 
BG11342 NarK 
BG11093 NasA 
BG11094 NasB 
BG11095 NasC 
BG11096 NasD 
BG11097 NasE 
BG11098 NasF 
BG11338 NatA 
BG11339 NatB 
BG10949 NdhF 
BG10282 Ndk 
BG10589 NfrA 
BG13044 NhaC 
BG13043 NhaX 
BG10866 NifS 
BG12632 NifZ 
BG10839 Nin 
BG10691 NprB 
BG10448 NprE 
BG11404 NrdE 
BG11405 NrdF 
BG10869 NrgA 
BG10870 NrgB 
BG10956 Nth 
BG10838 NucA 
BG11237 NucB 
BG11762 NudF 
BG10984 NupC 
BG10265 NusA 
BG11710 NusB 
BG10162 NusG 
BG10337 Obg 
BG10272 OdhA 
BG10273 OdhB 
BG10848 Ogt 
BG10771 OppA 
BG10772 OppB 
BG10773 OppC 
BG10774 OppD 
BG10775 OppF 
BG11370 OpuAA 
BG11371 OpuAB 
BG11372 OpuAC 
BG12633 OpuBA 
BG12634 OpuBB 
BG12635 OpuBC 
BG12636 OpuBD 
BG12637 OpuCA 
BG12638 OpuCB 
BG12639 OpuCC 
BG12640 OpuCD 
BG11958 OpuD 
BG12641 OpuE 
BG14148 OxdC 
BG10138 PabA 
BG10137 PabB 
BG10139 PabC 
BG12433 PadC 
BG12220 PadR 
BG10695 PaiA 
BG10696 PaiB 
BG11519 PanB 
BG11520 PanC 
BG11493 PanD 
BG11803 ParC 
BG11804 ParE 
BG10205 PatA 
BG10744 PatB 
BG11678 PbpA 
BG10221 PbpB 
BG11234 PbpC 
BG10977 PbpD 
BG10390 PbpE 
BG10428 PbpF 
BG12642 PbpX 
BG12811 PbuG 
BG11080 PbuX 
BG11841 PckA 
BG10873 Pcp 
BG12834 PcrA 
BG12833 PcrB 
BG10207 PdhA 
BG10208 PdhB 
BG10209 PdhC 
BG10210 PdhD 
BG10985 Pdp 
BG10840 Pel 
BG12643 PelB 
BG11016 PenP 
BG11842 PepT 
BG12227 PerR 
BG12644 PfkA 
BG12422 PgcM 
BG12366 Pgi 
BG11062 Pgk 
BG10898 Pgm 
BG11373 PgsA 
BG10914 PheA 
BG10913 PheB 
BG10874 PheS 
BG10875 PheT 
BG10183 PhoA 
BG10697 PhoB 
BG11174 PhoD 
BG11337 PhoH 
BG10363 PhoP 
BG10364 PhoR 
BG10653 PhrA 
BG11959 PhrC 
BG11521 PhrE 
BG11960 PhrF 
BG11465 PhrG 
BG12645 PhrI 
BG12646 PhrK 
BG11198 Phy 
BG13226 Pit 
BG12647 PksA 
BG12648 PksB 
BG12649 PksC 
BG12650 PksD 
BG12651 PksE 
BG10925 PksF 
BG10926 PksG 
BG10927 PksH 
BG10928 PksI 
BG10929 PksJ 
BG10698 PksL 
BG10931 PksM 
BG12652 PksN 
BG12654 PksR 
BG12655 PksS 
BG11843 PlsX 
BG10454 Pmi 
BG11844 PnbA 
BG11491 PnpA 
BG12656 PolA 
BG10263 PolC 
BG10954 PonA 
BG10014 PpaC 
BG10512 PpiB 
BG12657 Pps 
BG10970 PpsA 
BG10971 PpsB 
BG10972 PpsC 
BG11961 PpsD 
BG11962 PpsE 
BG11244 PrfA 
BG10742 PrfB 
BG11963 PriA 
BG10804 PrkA 
BG13391 PrkC 
BG10964 ProA 
BG10963 ProB 
BG10841 ProG 
BG11049 ProH 
BG11744 ProI 
BG12658 ProJ 
BG12659 ProS 
BG13390 PrpC 
BG10114 Prs 
BG10464 PrsA 
BG11013 Psd 
BG12797 PspA 
BG11012 PssA 
BG11377 PstA 
BG11378 PstBA 
BG11379 PstBB 
BG11376 PstC 
BG11375 PstS 
BG10634 Pta 
BG11722 Ptb 
BG10198 PtsG 
BG10200 PtsH 
BG10201 PtsI 
BG13992 PucA 
BG13991 PucB 
BG13990 PucC 
BG13989 PucD 
BG13988 PucE 
BG13982 PucH 
BG13984 PucJ 
BG13985 PucK 
BG13986 PucL 
BG13987 PucM 
BG13983 PucR 
BG11330 PunA 
BG10002 PurA 
BG10702 PurB 
BG10703 PurC 
BG10711 PurD 
BG10700 PurE 
BG10707 PurF 
BG10710 PurH 
BG10701 PurK 
BG10705 PurL 
BG10708 PurM 
BG10709 PurN 
BG10706 PurQ 
BG10110 PurR 
BG10704 PurS 
BG10924 PurT 
BG12660 PycA 
BG12661 Pyk 
BG10715 PyrAA 
BG10716 PyrAB 
BG10713 PyrB 
BG10714 PyrC 
BG10718 PyrD 
BG10720 PyrE 
BG10719 PyrF 
BG10410 PyrG 
BG12675 PyrH 
BG10717 PyrK 
BG10992 PyrP 
BG10712 PyrR 
BG11325 QcrA 
BG11326 QcrB 
BG11327 QcrC 
BG10583 QoxA 
BG10584 QoxB 
BG10585 QoxC 
BG10586 QoxD 
BG12662 QueA 
BG11964 RacE 
