source	BG	Bsu	Bmo	Bam	Bli	Bpu	Ban	Bce	Bth	Bwe	Bcl	Bha	Profile11
ids.tab	BG10464	BG10464 	Bmo1892 	RBAM_010190 RBAM_034630 	NT03BL1139 	BPUM_0938 	BA_1041 BA_2648 	BC_1043 	NT02BT1105 NT02BT3049 	BcerKBAB4_0957 	NT03BC1750 	BH1177 	Y
ids.tab	BG10524	BG10524 	Bmo1652 	RBAM_021360 	NT03BL2621 	BPUM_2055 	BA_3366 BA_3367 BA_4278 	BC_4058 	NT02BT0693 NT02BT3752 NT02BT4045 	BcerKBAB4_3887 	NT03BC2085 NT03BC2806 	BH1560 	Y
ids.tab	BG10525	BG10525 	Bmo1653 	RBAM_021350 	NT03BL2620 	BPUM_2054 	BA_4276 	BC_4057 	NT02BT4044 	BcerKBAB4_3886 	NT03BC2086 	BH1561 	Y
ids.tab	BG10531	BG10531 BG13306 	NA	RBAM_021290 	NT03BL2614 	BPUM_2048 	BA_1494 	BC_1473 	NT02BT1508 	BcerKBAB4_1396 	NT03BC2103 	BH1577 	
ids.tab	BG10532	BG10532 	Bmo1658 	RBAM_021280 	NT03BL2613 	BPUM_2047 	BA_1495 	BC_1474 	NT02BT1509 	BcerKBAB4_1397 	NT03BC2104 	BH1578 	Y
ids.tab	BG10533	BG10533 	Bmo1659 	RBAM_021270 	NT03BL2612 	BPUM_2046 	BA_1496 	BC_1476 	NT02BT1510 NT02BT4457 	BcerKBAB4_1398 	NT03BC2105 	BH1579 	Y
ids.tab	BG10552	BG10552 	NA	RBAM_035690 	NT03BL3416 	BPUM_2720 	BA_3186 	BC_3149 	NT02BT3166 	BcerKBAB4_2914 	NA	NA	
ids.tab	BG10676	BG10676 	Bmo873 	RBAM_027250 	NT03BL3364 	BPUM_2669 	BA_4991 	BC_4737 	NT02BT4738 	BcerKBAB4_4570 	NT03BC3256 	BH3281 	Y
ids.tab	BG10683	BG10683 	Bmo920 	RBAM_027800 	NT03BL3413 	BPUM_2718 	BA_0866 BA_5111 	BC_0883 BC_4855 	NT02BT0907 NT02BT4853 	BcerKBAB4_4697 	NA	NA	
ids.tab	BG10686	BG10686 BG10927 	NA	RBAM_027780 	NT03BL3411 	BPUM_2716 	BA_5109 	BC_4853 	NT02BT4851 	BcerKBAB4_4695 	NA	NA	
ids.tab	BG10687	BG10687 BG13057 	Bmo3141 	RBAM_027770 	NT03BL3410 	BPUM_2513 BPUM_2715 	BA_5108 	BC_4851 	NT02BT4850 	BcerKBAB4_4694 	NA	NA	
ids.tab	BG10694	BG10694 	NA	RBAM_003360 	NT03BL0373 NT03BL0720 	BPUM_0289 	BA_1998 	BC_0296 BC_1994 	NT02BT1994 	BcerKBAB4_1861 	NT03BC2461 	BH2285 	
ids.tab	BG10725-BG10451	BG10451 BG10609 BG10725 BG11192 BG11213 	Bmo481 Bmo485 	RBAM_032850 RBAM_032890 	NT03BL4052 NT03BL4055 	BPUM_3225 BPUM_3228 BPUM_3232 	NA	NA	NA	BcerKBAB4_1114 	NT03BC3516 	NA	
ids.tab	BG10726	BG10726 	NA	RBAM_001300 	NT03BL0126 	BPUM_0090 	BA_0100 	BC_0120 	NT02BT0126 	BcerKBAB4_0095 	NT03BC0177 	BH0122 	
ids.tab	BG10728	BG10728 	NA	RBAM_001320 	NT03BL0128 	BPUM_0093 	BA_0102 	BC_0122 	NT02BT0128 	BcerKBAB4_0097 	NT03BC0179 	BH0126 	
ids.tab	BG10729	BG10729 	NA	RBAM_001330 	NT03BL0129 	BPUM_0094 	BA_0103 	BC_0123 	NT02BT0129 	BcerKBAB4_0098 	NT03BC0180 	BH0127 	
ids.tab	BG10730	BG10730 	NA	RBAM_001660 	NA	BPUM_0128 	BA_0135 	BC_0156 	NT02BT0161 	BcerKBAB4_0130 	NT03BC0211 	BH0160 	
ids.tab	BG10731	BG10731 	NA	RBAM_001670 	NA	BPUM_0129 	BA_0136 	BC_0157 	NT02BT0162 	BcerKBAB4_0131 	NT03BC0212 	BH0161 	
ids.tab	BG10732	BG10732 	NA	RBAM_001680 	NT03BL0152 	BPUM_0130 	BA_0137 BA_1143 	BC_0158 BC_1139 	NT02BT0163 NT02BT1185 	BcerKBAB4_0132 BcerKBAB4_1042 	NT03BC0213 	BH0162 	
ids.tab	BG10741	BG10741 	Bmo2769 Bmo437 	RBAM_032450 	NT03BL4007 	BPUM_3178 	BA_5421 	BC_5189 	NT02BT5165 	BcerKBAB4_4982 	NT03BC3479 	BH3606 	Y
ids.tab	BG10742	BG10742 	Bmo436 	RBAM_032440 	NT03BL4006 	BPUM_3177 	BA_5420 	BC_5188 	NT02BT5163 	BcerKBAB4_4980 	NT03BC3476 	BH3605 	Y
ids.tab	BG10755	BG10755 	NA	RBAM_001480 	NA	BPUM_0109 	BA_0117 	BC_0138 	NT02BT0143 	BcerKBAB4_0112 	NT03BC0194 	BH0141 	
ids.tab	BG10756	BG10756 	NA	RBAM_001490 	NT03BL0139 	BPUM_0110 	BA_0118 	BC_0139 	NT02BT0144 	BcerKBAB4_0113 	NT03BC0195 	BH0142 	
